pa_name,clip,PA,N,S,R,F,dataset
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_33,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.94,30.60,1.26,0.87,0.45,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_34,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,46.63,31.15,1.22,1.19,0.25,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_35,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.32,34.43,1.29,0.40,0.24,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_36,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.06,37.47,1.47,0.27,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_37,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,61.87,36.13,1.31,1.03,1.77,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_38,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.58,35.40,1.23,0.50,0.71,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_39,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.31,33.71,1.51,0.26,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_40,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,61.03,33.96,1.32,1.86,0.87,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_41,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,47.02,36.74,1.30,0.52,0.22,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_42,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.82,33.16,1.40,0.20,0.14,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_43,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,60.48,34.11,1.31,1.27,1.63,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_44,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.12,33.73,1.21,0.30,0.10,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_45,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,33.58,29.38,1.50,0.12,0.28,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_46,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,51.86,32.41,1.47,0.52,1.94,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_47,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.11,32.88,1.28,0.29,0.06,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_48,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,34.98,28.44,1.61,0.09,0.84,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_49,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,48.67,35.31,1.62,0.34,1.27,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_50,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.06,33.16,1.29,0.25,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_51,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,42.97,34.16,1.59,0.12,1.00,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_52,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,50.09,35.18,1.62,0.22,1.68,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_53,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,37.30,32.49,1.46,0.25,0.04,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_54,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,44.43,35.97,1.65,0.17,0.85,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_55,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,50.13,36.34,1.52,0.48,1.05,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_56,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,40.05,31.55,1.26,0.50,0.09,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_57,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,43.09,33.71,1.21,0.47,0.08,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_58,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,49.29,34.16,1.30,0.52,1.11,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_59,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,38.94,33.20,1.41,0.30,0.03,snoop
Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video.wav_60,Snoop_Dogg__Crip_Ya_Enthusiasm_Official_Music_Video,52.44,35.28,1.37,0.42,1.57,snoop
