pa_name,clip,PA,N,S,R,F,dataset
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_26,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,11.24,8.62,1.17,0.40,0.06,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_27,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,9.24,7.39,1.16,0.28,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_28,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,11.20,9.02,1.13,0.22,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_29,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.17,11.80,1.14,0.16,0.71,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_30,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,10.02,7.47,1.15,0.46,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_31,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,14.04,11.42,1.13,0.08,0.19,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_32,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,11.46,8.94,1.12,0.35,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_33,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,10.76,8.77,1.18,0.12,0.19,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_34,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,10.14,8.13,1.15,0.26,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_35,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,10.80,8.64,1.27,0.30,0.09,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_36,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,10.37,7.64,1.18,0.51,0.05,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_37,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,11.08,8.43,1.29,0.44,0.10,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_38,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,12.06,9.34,1.15,0.11,0.44,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_39,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.22,12.56,1.35,0.24,0.16,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_40,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,25.54,19.65,1.26,0.06,0.82,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_41,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,12.52,10.26,1.20,0.15,0.14,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_42,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,13.79,11.64,1.34,0.13,0.19,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_43,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,12.00,9.91,1.30,0.23,0.09,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_44,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,11.01,9.37,1.30,0.18,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_45,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,9.29,7.75,1.21,0.18,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_46,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,12.80,10.52,1.18,0.20,0.03,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_47,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,12.91,10.32,1.15,0.26,0.07,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_48,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,9.32,7.91,1.30,0.18,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_49,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,10.25,8.48,1.22,0.21,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_50,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,13.45,9.98,1.03,0.44,0.07,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_51,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,13.67,10.15,0.95,0.44,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_52,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.63,12.61,1.05,0.39,0.09,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_53,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,12.90,10.08,1.06,0.27,0.07,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_54,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.32,12.48,1.14,0.47,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_55,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.78,12.39,1.21,0.26,0.24,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_56,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,13.06,10.37,1.12,0.30,0.02,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_57,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.35,11.25,1.04,0.53,0.05,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_58,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,13.26,10.27,1.09,0.36,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_59,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,14.36,10.77,1.01,0.42,0.04,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_60,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.72,12.05,1.04,0.27,0.55,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_61,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,16.28,12.01,1.00,0.51,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_62,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,17.16,12.66,0.98,0.51,0.00,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_63,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.62,11.70,1.01,0.46,0.01,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_64,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.06,11.40,0.99,0.40,0.00,br
_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR.wav_65,_DEEP_INSIDE_FAVELA_DISTRICT_RIO__BRAZIL_2022_FULL_TOUR,15.42,11.91,1.05,0.37,0.01,br
